species,long,lat
physeter_macrocephalus,-61.49328433,15.36977117
physeter_macrocephalus,-61.503702,15.3834075
physeter_macrocephalus,-61.50486067,15.38106333
physeter_macrocephalus,-61.46858117,15.33532083
physeter_macrocephalus,-61.45318517,15.294224
physeter_macrocephalus,-61.4737685,15.25724717
physeter_macrocephalus,-61.47403133,15.24851917
physeter_macrocephalus,-61.47441217,15.22731367
physeter_macrocephalus,-61.48565067,15.245483
physeter_macrocephalus,-61.48846167,15.25751533
physeter_macrocephalus,-61.48500167,15.28241167
physeter_macrocephalus,-61.485656,15.298285
physeter_macrocephalus,-61.485656,15.298285
physeter_macrocephalus,-61.50212483,15.31348233
physeter_macrocephalus,-61.50212483,15.31348233
physeter_macrocephalus,-61.5119525,15.33391
physeter_macrocephalus,-61.46887617,15.31074117
physeter_macrocephalus,-61.45755183,15.27429517
physeter_macrocephalus,-61.46174683,15.25193633
physeter_macrocephalus,-61.4861925,15.2699555
physeter_macrocephalus,-61.46891367,15.305822
physeter_macrocephalus,-61.44895267,15.32392683
physeter_macrocephalus,-61.44577167,15.3307235
physeter_macrocephalus,-61.4510985,15.33370617
physeter_macrocephalus,-61.45294383,15.33716617
physeter_macrocephalus,-61.47172467,15.3475195
physeter_macrocephalus,-61.47575867,15.3956705
physeter_macrocephalus,-61.613474,15.45959833
physeter_macrocephalus,-61.61154817,15.46781133
physeter_macrocephalus,-61.59540667,15.47290217
physeter_macrocephalus,-61.49505983,15.54273067
physeter_macrocephalus,-61.4792295,15.3476805
physeter_macrocephalus,-61.4965565,15.36762
physeter_macrocephalus,-61.48797883,15.37859567
physeter_macrocephalus,-61.49801567,15.37087083
physeter_macrocephalus,-61.45462833,15.37223883
physeter_macrocephalus,-61.45674183,15.35666583
physeter_macrocephalus,-61.45071217,15.3686875
physeter_macrocephalus,-61.4445325,15.34262717
physeter_macrocephalus,-61.45903783,15.3478415
physeter_macrocephalus,-61.46323283,15.34143633
physeter_macrocephalus,-61.43890517,15.34918783
physeter_macrocephalus,-61.48532883,15.26119533
physeter_macrocephalus,-61.47611283,15.27133417
physeter_macrocephalus,-61.4571495,15.30228133
physeter_macrocephalus,-61.44968767,15.325225
physeter_macrocephalus,-61.45326033,15.337134
physeter_macrocephalus,-61.4433415,15.33212367
physeter_macrocephalus,-61.446646,15.325048
physeter_macrocephalus,-61.4108975,15.28099
physeter_macrocephalus,-61.41020017,15.26403317
physeter_macrocephalus,-61.422034,15.299626
physeter_macrocephalus,-61.44497233,15.338003
physeter_macrocephalus,-61.47718033,15.26218233
physeter_macrocephalus,-61.47452483,15.259468
physeter_macrocephalus,-61.52712833,15.30335967
physeter_macrocephalus,-61.5282495,15.32636233
physeter_macrocephalus,-61.5282495,15.32636233
physeter_macrocephalus,-61.5382435,15.433361
physeter_macrocephalus,-61.5437635,15.48000467
physeter_macrocephalus,-61.52576583,15.4997295
physeter_macrocephalus,-61.5001775,15.50050733
physeter_macrocephalus,-61.486863,15.48156567
physeter_macrocephalus,-61.486863,15.48156567
physeter_macrocephalus,-61.5033265,15.53922783
physeter_macrocephalus,-61.4734145,15.3345805
physeter_macrocephalus,-61.44728433,15.33910817
physeter_macrocephalus,-61.447043,15.33999867
physeter_macrocephalus,-61.44467183,15.330171
physeter_macrocephalus,-61.44399067,15.33018183
physeter_macrocephalus,-61.433192,15.33336817
physeter_macrocephalus,-61.4564415,15.332365
physeter_macrocephalus,-61.46426817,15.35947683
physeter_macrocephalus,-61.45615717,15.36266867
physeter_macrocephalus,-61.45649517,15.35204183
physeter_macrocephalus,-61.456184,15.3414095
physeter_macrocephalus,-61.45821167,15.34591017
physeter_macrocephalus,-61.46766917,15.36820467
physeter_macrocephalus,-61.46788367,15.37629967
physeter_macrocephalus,-61.45971917,15.377496
physeter_macrocephalus,-61.45955817,15.38310167
physeter_macrocephalus,-61.4674385,15.39302583
physeter_macrocephalus,-61.46792133,15.39807383
physeter_macrocephalus,-61.476794,15.41317467
physeter_macrocephalus,-61.4855005,15.41799733
physeter_macrocephalus,-61.49555883,15.46181383
physeter_macrocephalus,-61.49811767,15.4247565
physeter_macrocephalus,-61.51155017,15.41265967
physeter_macrocephalus,-61.50744633,15.407939
physeter_macrocephalus,-61.4925065,15.39480683
physeter_macrocephalus,-61.4922435,15.39520917
physeter_macrocephalus,-61.48564533,15.400402
physeter_macrocephalus,-61.48857967,15.39400767
physeter_macrocephalus,-61.48954533,15.39011833
physeter_macrocephalus,-61.47873067,15.382297
physeter_macrocephalus,-61.45118433,15.36398833
physeter_macrocephalus,-61.446705,15.358066
physeter_macrocephalus,-61.44201117,15.34083017
physeter_macrocephalus,-61.44201117,15.34083017
physeter_macrocephalus,-61.43403967,15.321942
physeter_macrocephalus,-61.43818633,15.32308467
physeter_macrocephalus,-61.440654,15.33101867
physeter_macrocephalus,-61.44087933,15.34031517
physeter_macrocephalus,-61.43233917,15.3323705
physeter_macrocephalus,-61.43472083,15.33276733
physeter_macrocephalus,-61.41914267,15.31087517
physeter_macrocephalus,-61.41914267,15.31087517
physeter_macrocephalus,-61.42902383,15.31876633
physeter_macrocephalus,-61.42902383,15.31876633
physeter_macrocephalus,-61.429791,15.32600283
physeter_macrocephalus,-61.44946767,15.321781
physeter_macrocephalus,-61.59908667,15.525189
physeter_macrocephalus,-61.5999075,15.52814483
physeter_macrocephalus,-61.6037645,15.536331
physeter_macrocephalus,-61.60504117,15.539276
physeter_macrocephalus,-61.606114,15.54205483
physeter_macrocephalus,-61.57343933,15.56579233
physeter_macrocephalus,-61.5512415,15.569821
physeter_macrocephalus,-61.51176467,15.54480133
physeter_macrocephalus,-61.51399633,15.53344483
physeter_macrocephalus,-61.50000583,15.513795
physeter_macrocephalus,-61.492941,15.506891
physeter_macrocephalus,-61.492941,15.506891
physeter_macrocephalus,-61.495945,15.49182783
physeter_macrocephalus,-61.495945,15.49182783
physeter_macrocephalus,-61.495945,15.49182783
physeter_macrocephalus,-61.49089167,15.50045367
physeter_macrocephalus,-61.50092317,15.50213283
physeter_macrocephalus,-61.5085675,15.52109067
physeter_macrocephalus,-61.51022517,15.52592933
physeter_macrocephalus,-61.51611517,15.53845
physeter_macrocephalus,-61.51343833,15.56106633
physeter_macrocephalus,-61.52284217,15.57745467
physeter_macrocephalus,-61.4713545,15.34215517
physeter_macrocephalus,-61.4562,15.34861383
physeter_macrocephalus,-61.4600785,15.36584983
physeter_macrocephalus,-61.45765917,15.360067
physeter_macrocephalus,-61.4570155,15.36414917
physeter_macrocephalus,-61.4603145,15.373478
physeter_macrocephalus,-61.43237133,15.326432
physeter_macrocephalus,-61.4352305,15.33340583
physeter_macrocephalus,-61.44232233,15.34163483
physeter_macrocephalus,-61.44232233,15.34163483
physeter_macrocephalus,-61.4437975,15.34451017
physeter_macrocephalus,-61.44796567,15.36530267
physeter_macrocephalus,-61.45467117,15.376482
physeter_macrocephalus,-61.45540617,15.37641233
physeter_macrocephalus,-61.453947,15.376085
physeter_macrocephalus,-61.47154233,15.40294467
physeter_macrocephalus,-61.47923483,15.42430583
physeter_macrocephalus,-61.47753967,15.42415567
physeter_macrocephalus,-61.566455,15.41843183
physeter_macrocephalus,-61.566192,15.41162967
physeter_macrocephalus,-61.55183683,15.409264
physeter_macrocephalus,-61.525578,15.4231095
physeter_macrocephalus,-61.4918305,15.42781417
physeter_macrocephalus,-61.503144,15.43318933
physeter_macrocephalus,-61.48946483,15.44395033
physeter_macrocephalus,-61.49056983,15.4401255
physeter_macrocephalus,-61.4840575,15.41726767
physeter_macrocephalus,-61.49007633,15.4157335
physeter_macrocephalus,-61.49252783,15.40592733
physeter_macrocephalus,-61.45759483,15.32305783
physeter_macrocephalus,-61.4365555,15.305484
physeter_macrocephalus,-61.43524667,15.28270667
physeter_macrocephalus,-61.45939183,15.3568805
physeter_macrocephalus,-61.448089,15.36336067
physeter_macrocephalus,-61.4520695,15.36527033
physeter_macrocephalus,-61.48675033,15.364101
physeter_macrocephalus,-61.497844,15.36417067
physeter_macrocephalus,-61.47319983,15.33350233
physeter_macrocephalus,-61.49582167,15.32513383
physeter_macrocephalus,-61.43737633,15.3131015
physeter_macrocephalus,-61.42769883,15.3048885
physeter_macrocephalus,-61.41510317,15.26343767
physeter_macrocephalus,-61.50728,15.3004415
physeter_macrocephalus,-61.48966333,15.24848167
physeter_macrocephalus,-61.45804533,15.23935683
physeter_macrocephalus,-61.42337517,15.20256767
physeter_macrocephalus,-61.38976167,15.16379367
physeter_macrocephalus,-61.40686883,15.19015967
physeter_macrocephalus,-61.4562,15.24020967
physeter_macrocephalus,-61.45150083,15.27338867
physeter_macrocephalus,-61.46182733,15.27342617
physeter_macrocephalus,-61.496637,15.29205683
physeter_macrocephalus,-61.48529667,15.31897017
physeter_macrocephalus,-61.48481917,15.319807
physeter_macrocephalus,-61.47475017,15.3564405
